WEEKEND,PM10,PM2.5,CategoryName
0,25.986220196353436,11.144389901823281,1
0,18.63791519434629,10.291802120141343,1
0,12.79230498945889,5.812508784258609,0
0,22.198666666666664,10.19098245614035,1
0,33.71609276177091,16.91440618411806,1
1,23.946778711484594,12.289425770308123,1
1,11.178094575799722,6.403546592489568,0
0,19.17560890744607,6.469415448851774,0
0,14.919605077574047,3.5539492242595205,0
0,11.926912280701753,4.4081403508771935,0
0,40.574177746676,15.818999300209937,1
0,51.68865546218487,19.67170868347339,1
1,28.813206214689266,13.534675141242937,1
1,14.58874125874126,6.698531468531468,0
0,9.477840112201964,6.837131837307153,0
0,17.7531512605042,8.414005602240897,1
0,5.61169837914024,4.350739957716701,0
0,5.109468902865129,4.212229210342418,1
0,7.913244569025929,4.455991590749825,1
1,7.213925822253325,4.118649405178447,1
1,9.011991584852735,6.293408134642356,0
0,22.558216292134833,11.610323033707864,1
0,24.11223919078848,9.036318758815232,1
0,22.653107078083533,8.92821052631579,0
0,24.12517507002801,11.632738095238095,1
0,27.94765896881235,10.591919548341567,1
1,18.405101327742837,8.641299790356396,1
1,18.846932299012696,7.214104372355431,0
0,15.499741561440604,5.358550316678396,0
0,10.51834862385321,4.817431192660551,0
0,16.092410400562194,6.239704848910752,0
0,20.421615720524017,8.984934497816594,1
0,19.397757533286615,8.293973370707779,0
1,9.162957746478874,5.3282042253521125,0
1,9.9193741209564,6.123804500703234,1
0,18.696883753501403,7.323494397759104,0
0,23.31025868139974,9.51710063335679,1
0,26.021830985915493,10.039612676056338,1
0,20.30438904494382,5.929529494382022,0
