PM10,PM2.5,CategoryName
17.7531512605042,8.414005602240897,Moderate
51.68865546218487,19.67170868347339,Moderate
22.198666666666664,10.19098245614035,Moderate
14.919605077574047,3.5539492242595205,Good
24.12517507002801,11.632738095238095,Moderate
10.51834862385321,4.817431192660551,Good
28.813206214689266,13.534675141242937,Moderate
20.30438904494382,5.929529494382022,Good
5.109468902865129,4.212229210342418,Moderate
7.913244569025929,4.455991590749825,Moderate
14.58874125874126,6.698531468531468,Good
7.213925822253325,4.118649405178447,Moderate
9.477840112201964,6.837131837307153,Good
20.421615720524017,8.984934497816594,Moderate
9.011991584852735,6.293408134642356,Good
26.021830985915493,10.039612676056338,Moderate
18.696883753501403,7.323494397759104,Good
18.63791519434629,10.291802120141343,Moderate
24.11223919078848,9.036318758815232,Moderate
15.499741561440604,5.358550316678396,Good
19.397757533286615,8.293973370707779,Good
18.846932299012696,7.214104372355431,Good
25.986220196353436,11.144389901823281,Moderate
33.71609276177091,16.91440618411806,Moderate
11.178094575799722,6.403546592489568,Good
11.926912280701753,4.4081403508771935,Good
18.405101327742837,8.641299790356396,Moderate
9.162957746478874,5.3282042253521125,Good
16.092410400562194,6.239704848910752,Good
9.9193741209564,6.123804500703234,Moderate
23.946778711484594,12.289425770308123,Moderate
