DateTime,Bin 0 ,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5 ,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,PM 1.0,PM2.5,PM 10.0,SampleFlowRate,Sample Period,Temperature,Relative Humidity,Signal Temp,Signal RH,MToF Bin1,MToF Bin3,MToF Bin5,MToF Bin7,Reject Glitch,Reject Long,Checksum,Verify
timestamp,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,particles,ug/m^3,ug/m^3,ug/m^3,mL/s,s,C,%,bits,bits,1/3 us,1/3 us,1/3 us,1/3 us,count,count,checksum,checksum
timestamp,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,uint16_t,float,float,float,float,float,float,float,uint16_t,uint16_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint16_t,uint16_t
