2/2/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,63,2,Moderate
2/2/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,30,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,38,1,Good
2/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,53,2,Moderate
2/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,10,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,57,2,Moderate
2/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,12,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,45,1,Good
2/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,67,2,Moderate
2/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,28,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,50,1,Good
2/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,76,2,Moderate
2/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,41,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,49,1,Good
2/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,49,1,Good
2/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,20,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,44,1,Good
2/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,28,1,Good
2/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,15,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,41,1,Good
2/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,35,1,Good
2/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,19,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,40,1,Good
2/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,44,1,Good
2/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,6,1,Good
