WEEKEND_0,WEEKEND_1,PM10,PM2.5,CategoryName
1,0,0.44819913861959043,0.47093646587613097,1
1,0,0.29043972835919657,0.4180390526941426,1
1,0,0.16494139666456997,0.14012863051557467,0
1,0,0.36688484763549967,0.4117838616884623,1
1,0,0.6141503528077834,0.828927680281325,1
0,1,0.40441474401081884,0.5419783418504167,1
0,1,0.13028620981188777,0.17679860376629758,0
1,0,0.30198337591549324,0.18088532912839816,0
1,0,0.21061201148747993,0.0,0
1,0,0.14636243956631667,0.052996890093763405,0
1,0,0.7613853195706991,0.7609649534097609,1
1,0,1.0,0.9999999999999998,1
0,1,0.5088911821514283,0.6192378005292689,1
0,1,0.20350875693812398,0.19510045749406668,0
1,0,0.09378375905671103,0.20369969047842873,0
1,0,0.271444893987941,0.30153424179581473,1
1,0,0.010782272370418261,0.04943557666767934,0
1,0,0.0,0.040841904096452164,1
1,0,0.06019374474455717,0.05596574193658432,1
0,1,0.04518019902962707,0.03503589828027309,1
0,1,0.08378254259587913,0.16996524345179986,0
1,0,0.3746039524981463,0.49984452428608744,1
1,0,0.40796698464716336,0.34014464283506,1
1,0,0.3766411453509638,0.33343724452867557,0
1,0,0.4082447026623343,0.5012352300840583,1
1,0,0.49030890732413773,0.4366593472183085,1
0,1,0.28544149022322224,0.31563633760452,1
0,1,0.2949270781844284,0.22708833429100145,0
1,0,0.22306685509295465,0.11196352054920744,0
1,0,0.11612224515985785,0.07839067034089209,0
1,0,0.2357907535313014,0.16663331100377565,0
1,0,0.32873366730349607,0.33695659048022325,1
1,0,0.3067526439566522,0.2940870384896194,0
0,1,0.08702360738849589,0.11008074699106657,0
0,1,0.10326297158422333,0.15944246363439996,1
1,0,0.2917057135236222,0.23387525933976433,0
1,0,0.39074941240881184,0.36997396717497094,1
1,0,0.4489636601192672,0.4023923714836944,1
1,0,0.3262169493391129,0.14738898890592877,0
