WEEKEND,PM10,PM2.5,CategoryName
0,15.499741561440604,5.358550316678396,Good
0,40.574177746676,15.818999300209937,Moderate
0,24.11223919078848,9.036318758815232,Moderate
0,18.63791519434629,10.291802120141343,Moderate
0,20.421615720524017,8.984934497816594,Moderate
1,11.178094575799722,6.403546592489568,Good
0,19.397757533286615,8.293973370707779,Good
1,23.946778711484594,12.289425770308123,Moderate
0,19.17560890744607,6.469415448851774,Good
1,14.58874125874126,6.698531468531468,Good
1,18.405101327742837,8.641299790356396,Moderate
1,7.213925822253325,4.118649405178447,Moderate
0,22.198666666666664,10.19098245614035,Moderate
0,26.021830985915493,10.039612676056338,Moderate
0,7.913244569025929,4.455991590749825,Moderate
0,10.51834862385321,4.817431192660551,Good
0,20.30438904494382,5.929529494382022,Good
0,18.696883753501403,7.323494397759104,Good
0,24.12517507002801,11.632738095238095,Moderate
0,16.092410400562194,6.239704848910752,Good
1,18.846932299012696,7.214104372355431,Good
1,28.813206214689266,13.534675141242937,Moderate
0,22.653107078083533,8.92821052631579,Good
0,27.94765896881235,10.591919548341567,Moderate
0,14.919605077574047,3.5539492242595205,Good
1,9.9193741209564,6.123804500703234,Moderate
0,51.68865546218487,19.67170868347339,Moderate
0,25.986220196353436,11.144389901823281,Moderate
1,9.162957746478874,5.3282042253521125,Good
0,17.7531512605042,8.414005602240897,Moderate
0,11.926912280701753,4.4081403508771935,Good
