COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,DAY_OF_WEEK,WEEKEND
2024-06-13,2277,1346,1085,1389,2804,9322,15699,16422,14949,14787,14832,14358,12292,13374,12222,11187,10434,11107,13121,11948,11684,9434,7166,4167,4,0
2024-06-14,2489,1741,1310,1463,2668,8314,14995,15997,15789,14898,14487,14733,14370,13942,12784,12115,13264,13857,12288,11802,11443,11894,10463,9787,5,0
2024-06-15,7887,3531,2554,1607,1839,3598,6967,10109,13400,15001,15587,15052,15139,14249,14332,14298,15128,13659,12846,12851,12358,12127,11273,10862,6,1
2024-06-16,8752,4712,3632,1940,1570,2370,4166,6403,9391,12891,14975,15670,15667,15310,14287,14336,15307,12314,14638,13152,11678,9690,6972,5496,7,1
2024-06-17,2387,1558,1155,1302,2738,8977,15576,16497,15854,15275,14374,14520,14597,14093,14243,13028,12024,12215,14061,12301,10115,9346,6587,5338,1,0
2024-06-18,2382,1367,1137,1312,2791,9341,16006,15982,15311,14601,14101,13024,13162,13944,14071,13201,12808,13068,14155,12578,10740,9687,7198,3901,2,0
2024-06-19,2296,1400,1063,1336,2707,8594,15394,16183,15285,15408,14386,14274,14507,14471,14184,13283,12570,12774,14613,12513,11181,10438,7585,4087,3,0
2024-06-20,2192,1327,1069,1391,2836,9173,15717,16297,15823,15173,15017,14730,14117,14161,13029,13196,12064,12636,12700,12006,9954,9433,8192,7534,4,0
2024-06-21,3994,1959,1465,1495,2683,8290,14670,16044,15204,14495,12318,13371,14062,13594,12908,12300,12193,13639,14787,13259,11970,11689,9951,6314,5,0
2024-06-23,4708,3969,2954,1877,1718,2578,4292,6527,9781,13212,15676,15852,14298,13591,14111,14206,14457,13847,13484,11111,10257,8968,6147,4020,7,1
2024-06-24,2372,1525,1186,1410,2807,9023,15465,16351,14943,15137,14710,13790,13067,13894,14355,14079,13552,13484,12318,10995,9055,8091,5406,3060,1,0
2024-06-25,1912,1202,959,1322,2927,9426,15469,16403,15484,14682,13253,13476,13297,12867,12631,12287,11619,11386,13283,12336,10687,8842,6909,7203,2,0
2024-06-26,2577,1366,1050,1350,2934,9694,15718,15718,15768,14968,13848,13961,14398,13888,12196,11481,11033,10915,13015,12534,10819,9422,6742,6413,3,0
2024-06-27,2789,1438,1176,678,2210,9372,15570,15771,15386,14001,13426,14085,13465,12858,13315,12861,12382,12454,13540,13664,11163,9884,8209,6551,4,0
2024-06-28,7533,3193,1567,1541,2798,8478,14830,15927,15614,15063,14431,14415,14181,13451,13331,13200,13653,12822,13140,13495,11703,10880,9909,9149,5,0
2024-06-29,5963,3749,2712,1732,2000,3804,6780,9547,12456,14886,15775,15444,14973,14795,14844,13992,14819,13425,12918,12967,11430,11005,10050,6951,6,1
2024-06-30,5537,4200,3275,1873,1630,2574,4332,6598,9091,12697,14776,15522,16021,15436,15202,15331,15119,14400,14134,11453,10005,8643,7040,4747,7,1
2024-07-01,2362,1438,1118,1382,2859,8976,15844,16644,15682,14777,14544,14392,14509,14277,14227,12996,13438,13463,13986,11182,9273,8459,6269,3407,1,0
2024-07-02,1829,1245,997,1299,2847,9061,15923,16765,16021,13255,13350,14797,14593,14496,13968,13400,12190,11921,12583,12568,10481,9179,7314,3759,2,0
2024-07-03,2344,1497,1242,1409,2848,8905,15122,16023,15601,14755,14797,14525,14272,14161,13301,12195,11614,11769,12922,12621,11259,10890,9260,5538,3,0
2024-07-04,3301,2244,1620,1316,1809,3186,5431,6634,8300,10351,11705,12712,13364,13271,13793,13752,13905,12813,11508,9923,9052,8501,12243,8979,4,0
2024-07-05,4482,2742,1897,1407,1815,4319,8583,10735,12214,14004,15093,15092,15140,15340,14613,15030,15216,15184,13501,7214,9813,10425,10669,6230,5,0
2024-07-06,3664,2426,2023,1402,1524,2778,5507,7582,10748,13672,15300,15556,15474,15434,15558,15294,15085,15848,15109,13127,11452,11690,10177,6973,6,1
2024-07-07,5164,3218,2699,1572,1598,2337,4063,5671,8412,12156,14813,15328,15869,14217,14547,15745,15244,14333,13217,11157,9909,7910,5942,3629,7,1
2024-07-08,2099,1387,1112,1343,2681,8848,15380,16531,15864,15203,14868,15135,14639,14467,14764,13594,13080,13210,14067,11189,9332,7856,5421,2989,1,0
2024-07-09,1758,1185,1034,1220,2788,9131,15635,16703,15413,15436,13564,13919,12789,14131,14745,13926,12580,13082,14660,11870,10386,8582,5628,3243,2,0
2024-07-10,1927,1255,1085,1247,2825,9374,16014,16506,15906,15029,14778,14720,14611,14314,13267,12467,11597,11187,14266,13268,11316,9283,6821,5560,3,0
2024-07-11,2366,1465,1201,1388,2843,9144,13682,15167,15694,14868,14861,14710,14463,13822,12730,12125,11915,11820,12319,12688,11788,9759,7058,5657,4,0
2024-07-12,2842,1788,1398,1472,2921,8470,15004,16032,15507,15280,14143,13954,13215,12770,12647,12108,11857,12747,14092,12763,11336,10641,9231,8715,5,0
2024-07-13,6034,3235,2375,1676,2030,3881,7271,10261,12908,14843,15187,15011,14398,13535,14196,13763,14172,12218,12957,11979,11371,11728,9875,8690,6,1
2024-07-14,5421,3576,2989,1788,1661,2617,4554,6368,9012,12688,14774,14515,14410,13996,14009,14824,14866,14920,13584,10949,9492,8282,6738,4079,7,1
2024-07-15,2322,1459,1187,1383,2850,8938,15035,16414,15689,14825,14453,13911,13873,13769,14131,13198,12231,10711,11928,10859,8938,7330,5147,2965,1,0
2024-07-16,1719,1195,1056,1293,2826,9244,16094,16790,15502,15138,15031,14747,13706,13538,13732,12550,12107,11810,15349,12570,10524,8711,6443,4757,2,0
2024-07-17,2078,1296,1147,1385,2815,9358,15934,16996,15264,15021,13623,13509,14545,12774,13368,13172,12332,13338,13899,12834,11482,9223,6504,3972,3,0
2024-07-18,2079,1409,1124,1414,2928,9018,15813,16452,15038,14802,14669,14629,14303,14367,14135,13610,12611,12831,15003,13553,11532,10005,8075,4634,4,0
2024-07-19,2577,1766,1463,1520,2808,8362,14733,15926,15085,15321,14119,14650,14675,14290,13787,12846,12282,13336,13618,13809,11454,11244,11374,7318,5,0
2024-07-20,4391,3063,2625,1636,1906,3874,6899,9620,12567,14830,15459,15093,15061,15387,14907,15148,14664,14438,15033,14468,11965,8650,10130,7527,6,1
2024-07-21,4780,3100,2708,1638,1611,2218,4327,6463,9155,12770,15453,16044,15182,15045,15006,15522,16005,14732,13189,11341,10688,8392,6012,3816,7,1
2024-07-22,2220,1482,1205,1326,2823,8697,15485,16550,15688,15039,14763,14847,14595,14440,14113,13630,12914,13762,14626,11501,9446,8412,6860,3580,1,0
2024-07-23,2097,1260,1050,1295,2784,9002,16314,16829,16335,15281,14820,14873,14906,14399,14214,12995,11995,12051,13772,13358,10801,9977,6907,5468,2,0
2024-07-24,2426,1413,1235,1431,2825,9221,15658,16053,14344,15732,14077,14451,14156,13778,13262,12762,10943,10811,12525,12788,11156,9282,6700,3871,3,0
2024-07-25,2194,1494,1196,1380,2905,9111,15905,15977,15735,14812,14453,13769,14316,14336,13844,12318,11856,11931,13866,13266,11388,9748,7402,4217,4,0
2024-07-26,2608,1722,1396,1490,2809,8301,13957,16120,15776,15299,14662,14990,14504,14464,13236,12165,11345,12829,14498,13845,11247,10193,9054,6466,5,0
2024-07-27,4429,3243,2515,1685,1810,3382,6649,9575,12751,15021,12238,10918,10603,12003,15180,15285,14582,15325,14757,13264,11459,11515,11288,11434,6,1
2024-07-28,7438,3876,3079,1770,1536,2325,4072,6181,9202,12826,14536,15504,15445,15252,14936,14661,14257,14341,13381,12191,11099,8897,7337,4281,7,1
2024-07-29,2327,1541,1325,1437,2804,8722,15323,16137,15315,15052,14577,14361,14129,13539,13282,11911,11831,12348,13036,10813,9154,7702,5306,3195,1,0
2024-07-30,2062,1248,1031,1371,2893,9193,15378,16063,15856,15409,14836,14346,13252,13278,12934,11612,11545,12378,14026,12499,10418,8848,7897,4239,2,0
2024-07-31,2179,1358,1162,1378,2848,9202,15686,15555,15646,15222,14110,14752,14012,14227,13413,11944,11429,10972,12652,12666,11290,9341,7025,5470,3,0
2024-08-01,2533,1589,1258,1437,2908,9259,15997,16682,15720,15224,14599,14046,14340,13828,12376,11448,11514,12515,13695,10490,11134,10113,7344,4987,4,0
2024-08-02,2653,1670,1342,1469,2855,8170,14821,15606,15330,14739,14620,14612,14100,13656,12654,11655,11485,13255,13648,12725,11799,10521,9238,6857,5,0
2024-08-03,4339,3239,2500,1737,1890,3558,6729,9384,12399,14591,15164,15135,14673,14346,13855,14271,13735,13457,13984,12996,11757,11496,11669,9734,6,1
2024-08-04,5728,3611,3019,1776,1621,2297,3825,5902,8904,12297,14564,14374,14181,14223,14483,15233,14915,14712,13038,11205,10195,8225,6218,3761,7,1
2024-08-05,2274,1455,1238,1352,2824,8802,15683,16153,15679,14856,14389,13185,13488,13831,13993,13692,12885,11443,12450,10465,8631,6896,4848,3089,1,0
2024-08-06,1729,1254,1008,1333,2840,8856,15701,16257,15471,14658,14327,13615,13632,14342,12882,12657,11569,11449,13462,12151,10576,9187,7454,4041,2,0
2024-08-07,1983,1344,1077,1310,2922,9202,15723,15985,15168,14989,14400,14681,14472,14693,14771,13546,12312,12854,13838,12527,10936,9919,6906,3533,3,0
2024-08-08,2149,1359,1160,1405,2945,8734,15614,16126,15097,14598,15087,13523,13381,13326,14183,13444,10814,10030,13651,11814,10140,8417,6340,3866,4,0
2024-08-09,2551,1634,1276,1471,2819,8038,14791,16096,15968,15177,15021,15077,14586,13815,13118,12531,12630,14101,14512,13496,11675,10791,9303,6853,5,0
2024-08-10,4564,3081,2572,1619,1671,3340,6527,9290,11874,14366,14935,15221,14953,15489,14280,11323,13200,14337,14718,13712,12595,12137,10410,7644,6,1
2024-08-11,4958,3690,3278,1698,1540,2301,4175,5768,8543,12450,15031,16013,16027,15785,15042,13521,14440,15066,14415,11462,10227,7954,6180,3828,7,1
2024-08-12,2082,1447,1198,1393,2872,8688,15802,15758,14997,14132,14473,14969,13610,12720,12969,12742,12822,13862,13702,11321,9157,7272,4991,3146,1,0
2024-08-13,1707,1138,991,1294,2849,8995,16180,16353,15704,15677,14962,14289,14178,14730,13742,12318,11968,12704,13163,11997,9536,8406,6414,4560,2,0
2024-08-14,2002,1235,1008,1311,2806,8822,15590,16499,16145,15444,15033,13458,13981,13998,13525,13202,12883,12561,14483,12971,11053,8660,6623,3602,3,0
2024-08-15,2025,1368,1088,1339,2967,8958,15723,15451,15162,14295,13481,12975,14012,13414,12097,11102,10450,12644,14412,14186,11671,9458,7098,5999,4,0
2024-08-16,2600,1637,1338,1452,2716,8089,14859,15648,15535,15176,14676,14382,14295,13878,13211,11976,10614,11559,11918,13707,12653,11456,10270,9143,5,0
2024-08-17,4631,3038,2573,1638,1856,3388,6854,9911,12822,14735,15061,14928,14098,13605,13588,13039,13496,13257,14191,14021,12585,12490,10400,10043,6,1
2024-08-18,7534,4014,3133,1878,1710,2347,4278,6345,9027,12206,13831,15122,14105,13481,14049,14064,14927,13086,12729,12177,12244,11851,7970,3940,7,1
2024-08-19,2304,1409,1090,1394,2914,8649,15606,16454,15887,15013,15353,15185,15507,13143,12994,13469,12648,11415,12600,10699,9277,7165,5822,4610,1,0
2024-08-20,1965,1204,944,1327,2896,9177,15893,16444,14330,13789,15009,14948,14258,13719,12106,11321,11779,12213,14094,12961,11400,8458,6698,4206,2,0
2024-08-21,1958,1238,1044,1372,2904,9138,15902,16599,15591,14264,14222,13679,13088,13648,13926,13415,11760,12614,13225,12075,10200,8116,5584,3509,3,0
2024-08-22,1804,1303,1086,1352,2906,9126,15669,17006,15919,15516,15520,15366,14846,14665,13414,12573,11002,8161,12254,12718,10640,9275,7233,4865,4,0
2024-08-23,2410,1588,1303,1410,2715,8229,15078,16032,15579,13853,13278,14405,14116,14157,13609,12653,12705,12580,14274,14247,12220,10880,10305,7472,5,0
2024-08-24,4333,2963,2540,1630,1659,2864,5415,7847,10331,11645,12941,15170,15172,15499,15200,15592,15671,15788,15582,13995,12805,11535,9858,7880,6,1
2024-08-25,4768,3572,3215,1773,1567,2442,4261,6476,9588,13294,15325,15702,15716,14931,14136,15541,16153,14897,13198,12030,10222,7477,5401,3202,7,1
2024-08-26,2096,1255,1040,1262,2819,8649,15729,16750,15568,14841,14617,14902,15195,15202,14887,13656,12929,13198,13496,11014,9401,7862,4855,2926,1,0
2024-08-27,1648,1191,981,1320,2880,8023,9282,11778,11720,14056,15007,15217,14980,14970,13749,13176,11992,12393,14253,12655,11150,8899,5682,4442,2,0
2024-08-28,2352,1266,1043,1321,2781,9088,14358,15816,15150,14959,15057,14803,14529,14048,13051,12317,12023,12132,14002,12812,11382,9272,6129,4518,3,0
2024-08-29,2209,1369,1161,1382,2907,9010,13812,16595,15543,15295,15447,14775,14154,14255,13386,13066,11711,12737,14518,13597,11312,9759,8774,6317,4,0
2024-08-30,2821,1781,1420,1508,2786,7895,14300,15203,15077,14552,14629,14432,14240,13674,13088,12346,12008,13157,9315,9561,9000,9105,7283,5745,5,0
2024-08-31,3926,3220,2404,1627,1850,3001,5580,8439,11039,13104,14868,14862,14890,14558,13872,13689,14752,15012,13907,12635,11430,12040,9296,7514,6,1
2024-09-01,4792,4297,3023,1773,1587,2334,3844,5554,8013,11783,13872,15116,15303,14618,15166,13242,11671,13274,12836,11840,11273,9351,7048,4768,7,1
2024-09-02,3160,2415,1803,1414,1550,2491,3962,5391,7281,10314,12531,13705,11698,13349,13988,14247,13334,12933,12088,11467,9722,8530,4949,2825,1,0
2024-09-03,1709,1049,842,1286,2827,8778,15439,16340,15099,14223,14592,14762,14128,13399,13127,12371,11724,11879,13694,11723,9613,7437,4747,2934,2,0
2024-09-04,1674,1119,915,1367,2788,9075,16082,16214,15402,14865,15237,14848,14839,14878,14600,13203,10844,12445,14381,12004,10125,7749,5054,3013,3,0
2024-09-05,1722,1136,989,1257,2773,8662,13646,16145,15604,15352,15782,15792,15136,15329,14825,13995,13084,13104,14353,12146,10701,8489,6519,3837,4,0
2024-09-06,2189,1477,1237,1332,2661,8117,14958,15726,14373,14707,15237,15163,14114,13340,12931,13128,12999,13666,14279,13930,11768,10096,10008,8948,5,0
2024-09-07,5068,2795,2259,1497,1789,3347,6585,9547,13201,15341,15651,15060,14417,14817,14992,10659,13969,15691,15757,13189,11617,11616,10365,10595,6,1
2024-09-08,5688,3545,3153,1708,1500,2284,3820,5999,8710,12150,14456,15301,15181,15145,13390,13342,15458,14720,13476,12113,9727,7418,6184,6657,7,1
2024-09-09,3675,1491,1199,1342,2847,8606,14687,15235,15687,15045,14424,14011,15238,15260,14806,13110,13468,13685,14963,11574,9102,6684,5327,3573,1,0
2024-09-10,1862,1097,931,1264,2848,9076,16016,16453,15174,14968,15241,15252,14993,13479,13738,13418,12692,13219,14789,12286,9943,7883,5316,2845,2,0
2024-09-11,1647,1095,963,1248,2785,9014,15410,16299,14736,15229,15056,14902,15190,15885,14628,13755,13044,13638,15303,12904,10741,8183,5603,4254,3,0
2024-09-12,2199,1305,1073,1335,2810,8911,15504,16370,15239,15318,15280,13209,14917,15147,14317,13607,12689,12945,14353,13429,11572,9272,6253,4531,4,0
2024-09-13,2369,1598,1399,1473,2758,8008,14861,16262,16135,15055,14535,14988,14879,14635,13869,13081,12745,13517,14276,13675,12213,11812,9764,7160,5,0
2024-09-14,4059,3165,2451,1577,1791,3242,6450,10005,13171,14996,14806,14010,14483,14470,14791,14647,14752,15276,15081,14280,13215,12518,12000,7628,6,1
2024-09-15,6071,3725,2888,1759,1556,2171,3759,5749,8904,12711,15666,15760,14429,14320,14312,15608,15703,13462,11574,11101,9874,7473,5683,5269,7,1
2024-09-16,2631,1363,1111,1379,2778,8557,15059,16046,15457,14776,15009,15045,15298,15491,15388,14271,12892,12767,12966,10954,9270,7859,4542,2667,1,0
2024-09-17,1661,1104,955,1261,2891,8956,15905,16232,14391,15048,15240,15626,14292,14682,13529,12327,12859,13672,14565,13270,10515,8612,6047,4778,2,0
2024-09-18,1930,1222,1065,1320,2932,9059,14432,12971,13431,15823,15544,15221,13335,14569,13500,13393,12279,12509,13854,14471,11541,8874,7652,5082,3,0
2024-09-19,2493,1482,1161,1371,2920,8914,15694,15997,15529,14997,15017,15165,15316,14872,13986,13170,12813,12187,13287,13408,11262,9565,6528,3666,4,0
2024-09-20,2108,1504,1364,1376,2833,8116,14714,16462,15719,14999,15080,14769,15173,14426,13819,13693,13099,13512,14415,13937,11983,10632,9047,6168,5,0
2024-09-21,4009,2889,2408,1595,1760,3142,6179,10284,13336,14456,15238,15218,14344,15382,14579,14993,15009,14750,14486,12877,11428,10809,10137,7338,6,1
2024-09-22,4306,2923,2482,1429,1365,1917,3225,4782,7512,11127,13970,15214,15360,14319,10061,14345,15145,14315,13379,11639,9603,7528,5298,3297,7,1
2024-09-23,1922,1312,1028,1321,2766,8644,15357,15109,14987,14499,14214,14853,15006,13832,12761,13991,13990,14968,14877,11541,9404,7940,5767,3210,1,0
2024-09-24,1687,1148,950,1340,2696,8888,16157,15950,14770,15075,14916,13669,15043,14704,14414,13821,11286,12461,14578,12358,10022,8989,5885,3278,2,0
2024-09-25,1752,1155,983,1265,2855,8975,15405,14691,14969,15260,15183,14987,14818,13471,13871,13478,11652,13361,13652,13368,11319,10432,6661,3398,3,0
2024-09-26,1955,1339,1077,1316,2826,8850,15785,16542,15490,15179,14931,14871,14719,14324,13753,13777,13037,12867,14041,13068,11522,9751,7115,4160,4,0
2024-09-27,2404,1791,1397,1460,2733,7919,14568,15737,15378,14723,14074,14647,14699,14426,13700,12562,11729,13078,14076,13646,11671,10496,10090,8379,5,0
2024-09-28,4554,3126,2497,1750,1870,3367,6335,9873,12517,11001,14617,14819,15085,15019,15143,13318,13149,13980,15075,13794,12599,12076,10556,8901,6,1
2024-09-29,6125,3632,3061,1818,1760,2481,4013,6316,9331,12615,14546,15409,15495,14873,15652,16108,16478,14217,13608,12550,11200,8006,5777,3684,7,1
2024-09-30,2108,1406,1095,1377,2812,8677,15531,16313,15654,14749,14280,13755,14891,14527,14956,12083,11688,11972,9007,9663,8762,6850,4933,2681,1,0
2024-10-01,1541,1122,918,1295,2815,8901,15766,15477,15400,14420,15116,15095,15175,15139,14019,13541,12733,12453,14166,12563,9968,8461,6324,3253,2,0
2024-10-02,1722,1117,1010,1292,2836,8823,15654,16440,15449,14224,15179,14992,14982,14965,14108,13224,12352,12577,13449,12658,10623,9757,7829,4635,3,0
2024-12-17,1526,1032,940,1238,2675,8140,14117,15526,15509,15203,14653,15272,15608,15132,13993,12344,11340,11343,13643,10817,9057,7770,5164,2694,2,0
2024-12-18,1645,1071,932,1278,2691,8185,15395,16002,15853,15482,15280,15670,15281,14523,13499,9575,10829,11352,13494,11758,9527,8700,5855,3292,3,0
2024-12-19,1885,1249,1126,1403,2764,8058,14090,15568,15394,14529,13216,14410,11924,14264,13285,11940,11201,11034,12648,11587,9496,9288,6480,3683,4,0
2024-12-20,2191,1530,1370,1404,2702,7235,13414,15133,14907,14681,15175,15182,13422,13826,13272,11034,10921,12020,13554,12652,10851,10416,8280,5318,5,0
2024-12-21,3784,2795,2312,1580,1977,3371,5682,7474,9898,12015,11074,11544,13439,15305,14177,14927,14858,14765,12640,11874,11018,10844,9177,5536,6,1
2024-12-22,3900,3050,2426,1678,1602,2176,3475,4640,6835,10370,13102,14093,15220,15266,15410,15545,14968,13497,11737,9978,9918,8388,5298,3035,7,1
2024-12-23,1898,1291,1122,1241,2342,6654,11780,13349,13634,13960,15013,15257,15276,13888,13459,13384,13164,12466,13295,10716,8177,7039,6907,3540,1,0
2024-12-24,2016,1332,1058,1073,1843,4463,7374,8451,9108,10648,12466,14392,15607,15213,15380,13970,13853,13054,10736,9425,9238,8642,6451,4192,2,0
2024-12-25,2662,2110,1396,924,834,1231,1914,2519,3845,6062,8591,9932,11033,11501,11534,10881,10161,9974,10229,10126,8614,6599,4525,2662,3,0
2024-12-26,1527,906,757,893,1786,4963,8646,9925,10594,11432,12926,13929,14078,14604,14743,15197,14412,13458,11226,8995,7470,6359,4419,2784,4,0
2024-12-27,1850,1418,1173,1228,2086,5573,9810,11005,11736,12692,14138,14768,15401,15532,15412,14921,14836,14031,13296,10568,8960,9252,6905,4393,5,0
2024-12-28,2993,2362,1961,1350,1571,2658,4566,5763,7782,10661,12729,14337,14772,14964,14483,14327,14496,13892,13398,10874,9818,9713,7280,4959,6,1
2024-12-29,3562,2658,2403,1529,1452,2182,3260,4259,6065,9303,11578,12925,13605,14245,13913,14246,13725,13146,11162,9411,7887,6383,4546,3032,7,1
2024-12-30,1923,1277,1033,1206,2368,6553,11649,13307,12655,13124,13953,14408,14677,15016,14758,13440,13677,14193,12269,9259,7409,6305,4498,2927,1,0
2024-12-31,2115,1716,1837,1486,2184,5915,10188,11956,11661,12207,12493,13538,15146,15447,15506,15608,15406,12966,12775,11599,10490,9905,6821,5814,2,0
